# Keysight VSA IQ Data Export
# task        =1
# SampleRate = 1000000.0
#this=string
# rate  of       change =           200
# done= 100
# Format: Time(s), I, Q
Time (s),I,Q

0.0,1.0,0.0

1.0000000000000002e-06,0.8090169943749473,0.5877852522924732

2.0000000000000003e-06,0.3090169943749473,0.9510565162951536

3.0000000000000005e-06,-0.30901699437494756,0.9510565162951535

4.000000000000001e-06,-0.8090169943749477,0.5877852522924728

5.000000000000001e-06,-1.0,-3.216245299353273e-16

6.000000000000001e-06,-0.8090169943749472,-0.5877852522924734

7.000000000000001e-06,-0.30901699437494756,-0.9510565162951535

8.000000000000001e-06,0.30901699437494806,-0.9510565162951533

9.000000000000002e-06,0.8090169943749478,-0.5877852522924726

